ulcs_code,school_name,school_level,school_address,school_website,school_abbreviation,year_opened,year_closed,geometry
3392,Southwest Leadership Academy Charter School,elementary-middle,7101 PASCHALL AVE,http://www.slacs-phila.org,southwest leadership,2007.0,,POINT (-75.2426 39.918099)
3393,Mastery Charter School at Pickett,middle-high,5700 WAYNE AVE,http://www.masterycharter.org/schools/pickett-campus,mastery pickett,2007.0,,POINT (-75.18087124 40.03187441)
3394,Pan American Academy Charter School,elementary-middle,2830 N AMERICAN ST,https://www.panamcs.org/,pan american,2008.0,,POINT (-75.13614883 39.99428061)
3395,Antonia Pantoja Charter School,elementary-middle,4101 N AMERICAN ST,https://pantojacharter.org/,"pantoja, antonia",2008.0,,POINT (-75.13136564 40.01300525)
3396,KIPP West Philadelphia Preparatory Charter School,middle,5900 BALTIMORE AVE,http://kippphiladelphia.org/our-schools/kipp-west-philadelphia-preparatory-charter-school,kipp west,2009.0,,POINT (-75.24184422 39.94453199)
3399,Sankofa Freedom Academy Charter School,elementary-middle-high,2501 KENSINGTON AVE,http://www.sfacs.us,sankofa,2009.0,,POINT (-75.128641 39.987082)
3403,Franklin Towne Charter Elementary School,elementary-middle,4259 RICHMOND ST,http://es.franklintowne.org,franklin towne elementary,2009.0,,POINT (-75.07472434 39.99551599)
3404,Tacony Academy Charter School,elementary-middle-high,1330 RHAWN ST,http://www.ap-schools.org/Tacony-Academy-Charter,tacony academy,2009.0,,POINT (-75.06598353 40.06684222)
3406,Aspira Charter School at Stetson,middle,3200 B ST,http://stetsoncharter.org/,aspira stetson,2010.0,,POINT (-75.12546663 39.99806894)
3407,Mastery Charter School at Harrity,elementary-middle,5601 CHRISTIAN ST,http://www.masterycharter.org/harrity,mastery harrity,2010.0,,POINT (-75.23548525 39.94852458)
3408,Mastery Charter School at Mann,elementary,5376 W BERKS ST,http://www.masterycharter.org/school/mann-elementary,mastery mann,2010.0,,POINT (-75.2313266 39.98590147)
3409,Mastery Charter School at Smedley,elementary,1790 BRIDGE ST,http://www.masterycharter.org/smedley,mastery smedley,2010.0,,POINT (-75.073892 40.019786)
3410,Universal Charter School at Bluford,elementary,5801 MEDIA ST,https://www.universalfamilyofschools.org/universal-bluford/,universal bluford,2010.0,,POINT (-75.23602 39.973739)
3411,Universal Charter School at Daroff,elementary-middle,5630 VINE ST,https://www.universalfamilyofschools.org/universal-daroff/,universal daroff,2010.0,,POINT (-75.2325217 39.96558158)
3412,Mastery Charter School at Douglass,elementary-middle,2118 W NORRIS ST,http://www.masterycharter.org/school/frederick-douglass-elementary,mastery douglass,2010.0,,POINT (-75.16846267 39.98461532)
3414,Aspira Charter School at Olney,high,100 W DUNCANNON AVE,https://olneycharter.org/,aspira olney,2011.0,,POINT (-75.123808 40.028772)
3415,Mastery Charter School at Clymer,elementary,1201 W RUSH ST,http://www.masterycharter.org/school/clymer-elementary,mastery clymer,2011.0,,POINT (-75.15034419 39.99565934)
3416,Mastery Charter School at Gratz,middle-high,1798 W HUNTING PARK AVE,http://www.masterycharter.org/gratzprep,mastery gratz,2011.0,,POINT (-75.15660685 40.01453965)
3417,Universal Charter School at Audenried,high,3301 TASKER ST,https://www.universalfamilyofschools.org/universal-audenreid-charter-high-school/,universal audenried,2011.0,,POINT (-75.19859 39.933737)
3418,Universal Charter School at Vare,middle,2100 S 24TH ST,https://www.universalfamilyofschools.org/universal-vare-charter-school/,universal vare,2011.0,,POINT (-75.185707 39.925837)
3419,Lindley Academy Charter at Birney,elementary-middle,900 LINDLEY AVE,http://www.ap-schools.org/Lindley-Academy,lindely birney,2011.0,,POINT (-75.13883269 40.02954904)
3420,Mastery Charter School at Cleveland,elementary-middle,3701 N 19TH ST,http://www.masterycharter.org/cleveland,mastery cleveland,2012.0,,POINT (-75.15908455 40.01027824)
3421,Universal Charter School at Creighton,elementary-middle,5401 TABOR AVE,https://www.universalfamilyofschools.org/universal-creighton/,universal creighton,2012.0,,POINT (-75.10586492 40.03404277)
3422,The Philadelphia Charter School for Arts and Sciences,elementary-middle,1197 HAWORTH ST,http://www.stringtheoryschools.org/edmunds-campus/art-science-landing-page,edmunds,2012.0,,POINT (-75.08599631 40.02423246)
3423,Memphis Street Academy Charter School at J.P. Jones,middle,2950 MEMPHIS ST,http://www.ap-schools.org/Memphis-Street-Academy,memphis street,2012.0,,POINT (-75.11285949 39.98588986)
3424,Universal Charter School at Alcorn,elementary-middle,3200 DICKINSON ST,https://www.universalfamilyofschools.org/universal-alcorn-elementary/,universal alcorn,2013.0,,POINT (-75.197771 39.935499)
3426,Mastery Charter School at Pastorius,elementary-middle,5650 SPRAGUE ST,http://www.masterycharter.org/school/francis-d-pastorius-elementary,mastery pastorius,2013.0,,POINT (-75.161424 40.048208)
3427,Mastery Charter School at Wister,elementary,67 E BRINGHURST ST,http://www.masterycharter.org/wister,mastery wister,2016.0,,POINT (-75.16672063 40.03288146)
3428,Global Leadership Academy at Huey,elementary-middle,5200 PINE ST,http://www.glacharter.org,global leadership at huey,2016.0,,POINT (-75.22685833 39.95332691)
3437,KIPP North Philadelphia Charter School,elementary,2539 N 16TH ST,http://kippphiladelphia.org/kipp-north-philadelphia-academy,kipp n phila charter,2018.0,,POINT (-75.158212 39.99193)
3438,Deep Roots Charter School,elementary,3556 FRANKFORD AVE,https://deeprootscs.org,deep roots charter,2018.0,,POINT (-75.101664 39.998066)
3439,Mastery Prep Elementary Charter School,elementary,1801 W PIKE ST,http://www.masterycharter.org/masteryprepelementary,mastery prp elm,2018.0,,POINT (-75.156128 40.013457)
3440,MaST Community Charter School II,elementary-middle-high,6501 STATE RD,https://mast2.org/,mast ii,2016.0,,POINT (-75.044372 40.017476)
3441,TECH Freire Charter School,high,2221 N BROAD ST,http://www.techfreire.org,tech freire,2016.0,,POINT (-75.155669 39.986869)
3442,Independence Charter School West,elementary-middle,5600 CHESTER AVE,http://www.icswest.org,independence west,2016.0,,POINT (-75.22614036 39.93731366)
3443,KIPP West Philadelphia Charter School,elementary,5070 PARKSIDE AVE,http://kippphiladelphia.org/our-schools/kipp-west-philadelphia-elementary-academy/,kipp west elementary,2016.0,,POINT (-75.24184422 39.94453199)
3445,MAST III Charter School,elementary,1 CROWN WAY,https://mast3.org/,mast iii,2019.0,,POINT (-74.991671 40.109575)
3446,Philadelphia Hebrew Charter,elementary,3300 HENRY AVE,http://philadelphiahebrewpublic.org/,philadelphia hebrew,2019.0,,POINT (-75.184376 40.012045)
3317,Architecture and Design Charter School,high,105 S 7TH ST,http://www.chadphila.org,chad,1999.0,,POINT (-75.152249 39.948892)
2020,High School for Creative and Performing Arts School,high,901 S. BROAD ST.,http://philasd.org/capa/,capa,1997.0,,POINT (-75.16548375 39.93941992)
4370,Overbrook School,elementary-middle,2032 N. 62ND ST.,http://philasd.org/overbrook,overbrook elem,1990.0,,POINT (-75.24584611 39.98225806)
3350,Khepera Charter School,elementary-middle,926 W. SEDGLEY AVE.,https://www.philasd.org/charterschools/directory/khepera-charter-school/,khepera,2004.0,,POINT (-75.14518753 40.00139998)
3397,Eastern University Academy Charter School,middle-high,3300 HENRY AVE.,http://www.euacademycs.org/,eastern,2009.0,,POINT (-75.183476 40.012165)
3419,Lindley Academy Charter @ Birney,elementary-middle,900 LINDLEY AVE.,http://www.ap-schools.org/lindleyacademy.aspx,lindely birney,2011.0,,POINT (-75.13883269 40.02954904)
3170,VisionQuest,middlehigh,5201 OLD YORK RD.,http://vq.com,visionquest ltd,,,POINT (-75.144876 40.03219)
5430,Alternative Middle Years at James Martin ,middle,3380 RICHMOND ST.,http://philasd.org/amymartin/,amy at martin,,,POINT (-75.09718185 39.98529996)
8200,Ethan Allen School ,elementarymiddle,6329 BATTERSBY ST.,http://philasd.org/ethanallen,ethan allen,,,POINT (-75.06268841 40.0294252)
1050,Bartram Human Services,high,42 & LUDLOW STS,,,2003.0,,POINT EMPTY
1060,Bartram Communication,high,78TH & BUIST AVE,,,,2012-2013,POINT EMPTY
1060,Communication Technology High School,high,8110 LYONS AVE,,,,2012-2013,POINT EMPTY
1080,University City High School,high,36TH & FILBERT STS,,,,2012-2013,POINT EMPTY
1090,Bartram Business,high,2401 S 67TH ST,,,,2011-2012,POINT EMPTY
1090,High School for Business & Technology,high,2401 S 67TH ST,,,,2011-2012,POINT EMPTY
1100,William L. Sayre Middle School,middle,58TH & WALNUT STS,,,1950.0,,POINT EMPTY
1110,Anna H. Shaw Middle School,middle,54TH & WARRINGTON AVE,,,,2012-2013,POINT EMPTY
1120,Mayer Sulzberger Middle School,middle,48TH & FAIRMOUNT AVE,,,,2008-2009,POINT EMPTY
1150,George Pepper Middle School,middle,84TH ST & LYONS AVE,,,,2012-2013,POINT EMPTY
1160,John P. Turner Middle School,middle,59TH & BALTIMORE AVE,,,,2008-2009,POINT EMPTY
1190,Batram Motivation,high,78TH & BUIST,,,2004.0,,POINT EMPTY
1210,Belmont School,elementary,41ST & BROWN STS,,,,2002-2003,POINT EMPTY
1270,Charles R. Drew School,elementarymiddle,38TH SO OF POWELTON,,,,2011-2012,POINT EMPTY
1310,William F. Harrity School,elementarymiddle,56TH & CHRISTIAN ST,,,,2009-2010,POINT EMPTY
1330,Samuel B. Huey School,elementarymiddle,52ND & PINE ST,,,1964.0,2015-2016,POINT EMPTY
1430,Alexander Wilson School,elementarymiddle,46TH & WOODLAND AVE,,,,2012-2013,POINT EMPTY
1530,Leidy School,elementarymiddle,BELMONT AVE & THOMPSON ST,,,,2012-2013,POINT EMPTY
2060,Philadelphia Regional High School,high,1118 MARKET ST,,,,2004-2005,POINT EMPTY
2090,Edward Bok High School,high,8TH & MIFFLIN ST,,,,2012-2013,POINT EMPTY
2100,Charles Audenried High School,high,33RD & TASKER ST,,,,2004-2005,POINT EMPTY
2110,Norris S. Barratt Middle School,middle,16TH & WHARTON ST,,,,2010-2011,POINT EMPTY
2120,Edwin H. Vare Middle School,middle,24TH & SNYDER AVE,,,,2010-2011,POINT EMPTY
2130,Roberts Vaux School,middle,24TH & MASTER ST,,,,2013-2014,POINT EMPTY
2150,George C. Thomas Middle School,middle,9TH & JOHNSTON ST,,,,2004-2005,POINT EMPTY
2200,James Alcorn School,elementarymiddle,32ND & DICKINSON,,,,2012-2013,POINT EMPTY
2141,Julia R. Masterman School,middle,17TH & SPRING GARDEN,,,,2007-2008,POINT EMPTY
2300,Thomas Durham Child Development Center,elementary,16TH & LOMBARD ST,,,,2002-2003,POINT EMPTY
2400,W.S. Peirce High School,middle,24TH & CHRISTIAN ST,,,,2006-2007,POINT EMPTY
2420,General John F. Reynolds School,elementarymiddle,24TH & JEFFERSON ST,,,,2012-2013,POINT EMPTY
2440,Walter G. Smith School,elementarymiddle,19TH & WHARTON ST,,,,2012-2013,POINT EMPTY
2720,Abigail Vare School,elementarymiddle,MORRIS & MOYAMENSING AVE,,,1903.0,,POINT EMPTY
2730,George Washington School,elementarymiddle,5TH & FEDERAL ST,,,,2012-2013,POINT EMPTY
2800,Charles Audenried Hisgh School,high,3301 TASKER ST,,,,2010-2011,POINT EMPTY
4010,Simon Gratz High School,high,17TH & LUZERNE ST,,,,2010-2011,POINT EMPTY
4100,Dimner Beeber School,middle,59TH & MALVERN,,,1933.0,,POINT EMPTY
4110,Thomas Fitzsimons School,middle,26TH & CUMBERLAND ST,,,,2011-2012,POINT EMPTY
4120,Elizabeth Gillespie Middle School,middle,18TH & PIKE ST,,,,2009-2010,POINT EMPTY
4130,William H. Shoemaker Middle School,middle,53RD & MEDIA AVE,,,,2006-2007,POINT EMPTY
4150,Washington E. Rhodes School,middle,29TH & CLEARFIELD ST,,,,2012-2013,POINT EMPTY
4210,Samuel Daroff School,elementarymiddle,57TH & VINE STS,,,,2009-2010,POINT EMPTY
4260,Grover Cleveland School,elementary,19TH ST N OF ERIE AVE,,,,2011-2012,POINT EMPTY
4290,Hanna S. WM. B. Guion Bludford School,elementarymiddle,5801 MEDIA ST,,,,2009-2010,POINT EMPTY
4310,Kenderton School,elementarymiddle,15TH & ONTARIO ST,,,,2012-2013,POINT EMPTY
4320,Robert E. Lamberton Elementary School,elementarymiddle,75TH & WOODBINE AVE,,,1949.0,,POINT EMPTY
4330,Robert E. Lamberton High School,high,7501 WOODBINE AVE,,,,2012-2013,POINT EMPTY
4340,William B. Mann School,elementary,54TH & BERKS ST,,,,2009-2010,POINT EMPTY
4390,Anna B. Pratt School,elementary,22ND & SUSQUEHANNA AVE,,,,2012-2013,POINT EMPTY
4400,M. Hall Stanton School,elementary,16TH & CUMBERLAND,,,,2012-2013,POINT EMPTY
4420,Rudolph S. Walton School,elementary,28TH & HUNTINGDON,,,,2002-2003,POINT EMPTY
4430,John G. Whittier School,elementary,27TH & CLEARFIELD,,,,2012-2013,POINT EMPTY
4450,Leslie P. Hill School,elementarymiddle,32ND & RIDGE AVE,,,,2012-2013,POINT EMPTY
4510,Frederick Douglass School,elementarymiddle,22ND & NORRIS ST,,,,2009-2010,POINT EMPTY
5010,Kensington High School,high,AMBER & CUMBERLAND,,,,2004-2005,POINT EMPTY
5040,William Penn High School,high,BROAD AND MASTER STS,,,,2009-2010,POINT EMPTY
5050,Elverson Military Academy,high,13TH & SUSQUEHANNA AVE,,,2005.0,,POINT EMPTY
5071,Parkway Center City High School,high,9 SOUTH 12TH ST,,,2005.0,,POINT EMPTY
5080,Parkway Center City High School,high,9 SOUTH 12TH ST,,,2005.0,,POINT EMPTY
5073,Parkway Gamma High School,high,4901 CHESTNUT ST,,,2004.0,,POINT EMPTY
5090,Parkway Gamma High School,high,4901 CHESTNUT ST,,,2004.0,,POINT EMPTY
5100,John Paul Jones Middle School,middle,ANN & MEMPHIS ST,,,,2011-2012,POINT EMPTY
5110,Penn Treaty Middle School,middle,MONTGOMERY AVE & E THOMPSON ST,,,,2012-2013,POINT EMPTY
5120,John B. Stetson Middle School,middle,B & ALLEGHENY AVE,,,,2009-2010,POINT EMPTY
5130,John Wanamaker Middle School,middle,11TH & COLUMBIA AVE,,,,2005-2006,POINT EMPTY
5140,Stoddart Fleisher Middle School,middle,13TH & GREEN ST,,,,2005-2006,POINT EMPTY
5190,Youthbuild Alternative,high,1231 N BROAD ST,,,,2007-2008,POINT EMPTY
5220,George Clymer School,elementarymiddle,12TH & RUSH STS,,,,2010-2011,POINT EMPTY
5240,Stephen A. Douglas School,high,HUNTINGDON & EDGEMONT,,,,2012-2013,POINT EMPTY
5270,James Elverson Middle School,middle,13TH & SUSQUEHANNA AVE,,,,2004-2005,POINT EMPTY
5280,Fairhill School,elementarymiddle,6TH & SOMERSET,,,,2012-2013,POINT EMPTY
5290,Joseph C. Ferguson School,elementarymiddle,7TH & NORRIS,,,,2012-2013,POINT EMPTY
5310,William H. Harrison School,elementarymiddle,11TH & THOMPSON ST,,,,2011-2012,POINT EMPTY
5450,Charles Carroll High School,high,EDGEMONT & AUBURN,,,,2012-2013,POINT EMPTY
5510,"Kensington International Business, Finance, and Entrepreneurship High School",high,AMBER & CUMBERLAND,,,2005.0,2015-2016,POINT EMPTY
5550,Kensington Culinary,high,2463 EMERALD ST,,,2001.0,,POINT EMPTY
5600,Kensington Urban Education Academy,high,2051 E CUMBERLAND ST,,,2010.0,2015-2016,POINT EMPTY
5650,Sheridan West School,middle,G & ONTARIO ST,,,,2012-2013,POINT EMPTY
5660,the LINC,high,122 W ERIE AVE,,,2014.0,,POINT EMPTY
6020,Germantown High School,high,GERMANTOWN & HIGH ST,,,,2012-2013,POINT EMPTY
6070,Philadelphia Military Academy at Leeds,high,1100 E MT PLEASANT AVE,,,,2012-2013,POINT EMPTY
6100,Morris E. Leeds School,middle,MT PLEASANT & WOOLSTON AVE,,,1953.0,2015-2016,POINT EMPTY
6110,Theodore Roosevelt Middle School,middle,WASHINGTON LANE & MUSGRAVE,,,,2012-2013,POINT EMPTY
6150,Clarence E. Pickett Middle School,middle,WAYNE & CHELTEN AVES,,,,2006-2007,POINT EMPTY
6160,Ada H. Lewis Middle School,middle,TULPEHOCKEN & ARDLEIGH STS,,,,2006-2007,POINT EMPTY
6240,Robert Fulton School,elementarymiddle,HAINES E OF GERMANTOWN AVE,,,,2012-2013,POINT EMPTY
6270,John Story Jenks Academy for Arts and Sciences,elementarymiddle,GERMANTOWN & SOUTHAMPTON AVE,,,1924.0,,POINT EMPTY
6280,John L. Kinsey School,elementarymiddle,65TH & LIMEKILN PIKE,,,,2012-2013,POINT EMPTY
6290,William Levering School,elementarymiddle,RIDGE AVE & GERHARD,,,,2011-2012,POINT EMPTY
6330,Francis P. Pastorius School,elementarymiddle,CHELTEN & SPRAGUE ST,,,,2012-2013,POINT EMPTY
6430,John Wister School,elementary,WAKEFIELD & BRINGHURST,,,1955.0,2015-2016,POINT EMPTY
6460,Hill-Freedman School,middlehigh,TUPLEHOCKEN & CRITTENDEN STS,,,1980.0,,POINT EMPTY
7020,Olney High School,high,FRONT & DUNCANNON AVE,,,,2004-2005,POINT EMPTY
7040,Olney West High School,high,FRONT & DUNCANNON AVE,,,,2010-2011,POINT EMPTY
7050,Olnet East High School,high,FRONT & DUNCANNON AVE,,,,2010-2011,POINT EMPTY
7150,G & Hunting Park,elementarymiddle,G & HUNTING PARK AVE,,,2007.0,,POINT EMPTY
7210,Gen. David B. Birney School,elementary,9TH & LINDLEY AVE,,,,2010-2011,POINT EMPTY
7240,Thmoas Creighton School,elementarymiddle,TABOR RD & FOULKROD,,,,2011-2012,POINT EMPTY
7250,Henry R. Edmunds School,elementarymiddle,LARGE & DYRE,,,,2011-2012,POINT EMPTY
7420,Franklind Smedley School,elementary,BRIDGE & MULBERRY ST,,,,2009-2010,POINT EMPTY
7500,Central East Middle School,middle,B & WYOMING AVE,,,1993.0,,POINT EMPTY
7500,Feltonville Arts & Sciences School,middle,210 E COURTLAND ST,,,1993.0,,POINT EMPTY
8150,Nejamin Rush Middle School,middle,KNIGHTS & FAIRDALE RDS,,,,2006-2007,POINT EMPTY
8180,John Hancock Demonstration School,elementary,MORRELL & CROWN AVES,,,1968.0,2015-2016,POINT EMPTY
8320,General J. Harry LaBrum School,middle,HAWLEY & BROOKVIEW ROADS,,,1974.0,2015-2016,POINT EMPTY
3301,Community Academy of Philadelphia Charter School ,elementarymiddlehigh,1100 E ERIE AVE,,,1997.0,,POINT EMPTY
3303,World Communications Charter School,middlehigh,512 S BROAD ST,,,1997.0,,POINT EMPTY
3305,Center for Economics & Law Charter School,high,3020 MARKET ST,,,,2003-2004,POINT EMPTY
3308,Family Charter,elementary,3512 HAVERFORD AVE 2ND FL,,,1998.0,,POINT EMPTY
3308,Belmont Academy Charter School,elementary,907 NORTH 41ST ST,,,1998.0,,POINT EMPTY
3312,Multi-Cultural Academy Charter School,high,4666-68 N 15TH ST,,,1998.0,,POINT EMPTY
3315,Alliance Charter School,elementarymiddle,1821 N CECIL B MOORE AV,,,1998.0,,POINT EMPTY
3317,Charter High School for Architecture and Design Charter,high,105 SO 7TH ST,,,1999.0,,POINT EMPTY
3319,Germantown Settlement Charter School,middle,4811 GERMANTOWN AVE,,,,2008-2009,POINT EMPTY
3320,Imani Education Circle Charter School,elementarymiddle,5612 GREENE ST 2ND FL,,,1999.0,2015-2016,POINT EMPTY
3323,Renaissance Advantage Charter School,elementarymiddle,4601 MARKET ST,,,1999.0,,POINT EMPTY
3323,Hardy Williams Academy Mastery Charter School,elementarymiddle,1712 S 56TH ST,,,1999.0,,POINT EMPTY
3324,Renaissance Charter School,middle,7500 GERMANTOWN AVE,,,,2008-2009,POINT EMPTY
3333,Nueva Esperanza Academy Charter School,middlehigh,301 W HUNTING PARK AVE,,,2000.0,,POINT EMPTY
3336,Philadelphia Performing Arts Charter School,elementarymiddlehigh,BROAD ST & OREGON AVE,,,2000.0,,POINT EMPTY
3337,Raising Horizons Quest Charter School,elementarymiddle,4960_x001B_O-64 MASTER ST,,,2000.0,,POINT EMPTY
3339,Wakisha Charter School,middle,1209 VINE ST,,,2000.0,2014-2015,POINT EMPTY
3340,Leadership Learning Charter School,elementarymiddlehigh,1425 N 2ND ST,,,2001.0,2014-2015,POINT EMPTY
3340,Walter D. Palmer Leadership Learning Partners Charter School,elementarymiddlehigh,910 N 6TH ST,,,2001.0,2014-2015,POINT EMPTY
3342,Delaware Valley Charter High School,high,1613 WADSWORTH AVE,,,2001.0,,POINT EMPTY
3353,Kipp Dubois,high,5070 PARKSIDE AVE,,,2015.0,,POINT EMPTY
3361,High Teach High Charter School,middlehigh,1302 ARCH ST 3RD FL,,,2001.0,,POINT EMPTY
3361,Mastery Charter School at Lenfest Campus,middlehigh,35 S 4TH ST,,,2001.0,,POINT EMPTY
3363,Hope Charter School,high,2116 E HAINES ST,,,,2012-2013,POINT EMPTY
1210,Belmont Charter School,elementarymiddle,41ST & BROWN STS,,,2005.0,,POINT EMPTY
3379,AD Prima Charter School,elementarymiddle,5901 WOODBINE AVE,,,2004.0,,POINT EMPTY
3380,New Media Technology Charter School,middlehigh,7800 OGONTZ AVE,,,2004.0,,POINT EMPTY
3383,Mastery Charter School at Shoemaker Campus,middlehigh,5301 MEDIA ST,,,2006.0,,POINT EMPTY
3384,Folks Arts Culture Treasures Charter School,elementarymiddle,1118 MARKET ST,,,2005.0,,POINT EMPTY
3389,Planet Abacus Charter School,elementarymiddle,6649 TULIP ST,,,2007.0,,POINT EMPTY
3391,Truebright Science Academy Charter School,middlehigh,926 W SEDGLEY AVE,,,2007.0,2014-2015,POINT EMPTY
3393,Mastery Charter School at Pickett Campus,middlehigh,5700 WAYNE AVE,,,2007.0,,POINT EMPTY
3398,Arise Academy Charter High School,high,1118 MARKET ST SUITE B,,,2009.0,2014-2015,POINT EMPTY
3412,Young Scholars Charter School at Frederick Douglass,elementarymiddle,2118 W NORRIS ST,,,2010.0,,POINT EMPTY
3412,Frederick Douglass Mastery Charter School,elementarymiddle,2118 W NORRIS ST,,,2010.0,,POINT EMPTY
3419,Mastery Charter School at Birney,elementarymiddle,900 W LINDLEY AVE,,,2011.0,,POINT EMPTY
3419,General David B.BirneyCharter School,elementarymiddle,900 LINDLEY AVE,,,2011.0,,POINT EMPTY
3422,Philadelphia Charter School for the Arts and Sciences,elementarymiddle,1197 HAWORTH ST,,,2012.0,,POINT EMPTY
3425,Young Scholars Charter School at Kenderton,elementarymiddle,1500 W ONTARIO ST,,,2013.0,,POINT EMPTY
3426,Mastery Charter School at Pastorius ,elementarymiddle,5650 SPRAGUE ST,,,2013.0,,POINT EMPTY
